HLE,HLN,HLZ
-0.306303,-0.10668,1.075223
-0.198221,0.08103,0.756975
-0.116345,0.221825,0.371177
-0.072417,0.315743,-0.047599
-0.073469,0.373714,-0.469488
-0.116374,0.403265,-0.863018
-0.181906,0.401325,-1.189041
-0.238465,0.356489,-1.401956
-0.260798,0.259535,-1.46185
-0.010558,-0.010272,0.01263
-0.010542,-0.01106,0.014558
-0.012479,-0.010565,0.014459
-0.014068,0.011116,0.012226
-0.014195,0.014028,-0.014981
-0.012705,0.01519,-0.019527
0.011847,0.014406,-0.022733
0.013249,0.011784,-0.024326
0.012584,-0.010718,-0.024116
-0.012374,-0.013143,-0.022098
-0.013877,-0.013857,-0.01854
-0.013529,-0.012838,-0.013938
-0.01125,-0.010422,-0.011909
0.014616,-0.012734,-0.014639
0.017883,-0.014591,-0.015745
0.019164,-0.014962,-0.014539
0.018403,-0.013762,-0.011089
0.015944,-0.011102,0.010856
0.01237,0.013382,0.016008
-0.013515,0.015606,0.020753
-0.019689,0.015472,0.024727
-0.025349,0.013293,0.027234
-0.029019,-0.010077,0.027392
-0.029486,-0.010779,0.024392
-0.0261,-0.013264,0.017737
-0.018926,-0.014344,-0.020705
0.014667,-0.014469,-0.035196
0.024781,-0.014363,-0.047146
0.032379,-0.014684,-0.054888
0.037182,-0.01574,-0.05778
0.039386,-0.017396,-0.056116
0.039314,-0.019108,-0.050654
0.037173,-0.020041,-0.042086
0.032971,-0.019256,-0.03075
0.026643,-0.015955,-0.016735
0.018274,0.010112,0.018367
-0.012497,0.021799,0.037881
-0.02127,0.033025,0.056715
-0.027968,0.042772,0.072804
-0.032387,0.050394,0.08395
-0.034761,0.055523,0.088298
-0.035675,0.057818,0.084876
-0.035875,0.056719,0.074043
-0.035939,0.051399,0.05751
-0.035849,0.041061,0.037818
-0.034798,0.025444,0.017269
-0.03153,-0.017513,-0.02305
-0.024935,-0.040171,-0.043558
-0.014539,-0.059694,-0.064735
0.015433,-0.073573,-0.085557
0.032335,-0.080326,-0.103651
0.048277,-0.079649,-0.115789
0.061722,-0.072308,-0.118818
0.071641,-0.05989,-0.110686
0.077612,-0.044458,-0.091239
0.079535,-0.028103,-0.062554
0.07721,-0.012516,-0.028534
0.070124,0.012842,0.036585
0.057612,0.022153,0.060184
0.039412,0.029199,0.076041
0.016236,0.034024,0.085576
-0.010032,0.036839,0.091354
-0.036523,0.038087,0.095606
-0.059914,0.038411,0.099022
-0.077138,0.038543,0.10035
-0.086139,0.039129,0.097116
-0.086453,0.040523,0.086981
-0.079372,0.042602,0.069119
-0.067554,0.044672,0.045033
-0.054062,0.045574,0.018293
-0.041238,0.044027,-0.026085
-0.029966,0.038998,-0.038718
-0.019586,0.029917,-0.045727
0.018726,0.016772,-0.050093
0.033875,-0.018639,-0.054968
0.047306,-0.037781,-0.062083
0.056782,-0.055026,-0.070937
0.060998,-0.068243,-0.078946
0.06009,-0.075871,-0.082515
0.055432,-0.077159,-0.078477
0.048937,-0.0722,-0.065322
0.042137,-0.061822,-0.043787
0.035517,-0.047344,-0.016518
0.028478,-0.030244,0.012847
0.019783,-0.011862,0.040763
-0.023347,0.024442,0.064662
-0.040691,0.04031,0.083281
-0.055823,0.053065,0.096438
-0.066344,0.061581,0.104294
-0.070741,0.065193,0.106591
-0.068752,0.063821,0.102354
-0.061195,0.057952,0.090297
-0.049499,0.048546,0.069881
-0.035171,0.036874,0.042273
-0.019403,0.024251,0.010431
0.013935,0.011757,-0.021604
0.030735,-0.010264,-0.049902
0.046727,-0.01886,-0.071663
0.060767,-0.024969,-0.085564
0.071586,-0.0279,-0.091541
0.078159,-0.027364,-0.090271
0.079927,-0.023639,-0.082704
0.076717,-0.017487,-0.069906
0.068617,0.011969,-0.053045
0.056053,0.016692,-0.033357
0.039868,0.019374,-0.012048
0.021205,0.019806,0.031353
-0.018543,0.018005,0.051697
-0.037055,0.014237,0.069832
-0.052938,-0.011425,0.084433
-0.065094,-0.018104,0.093847
-0.072908,-0.023924,0.096257
-0.076376,-0.028748,0.09012
-0.075823,-0.032669,0.074865
-0.071571,-0.0357,0.051417
-0.063899,-0.037434,0.02213
-0.053221,-0.036975,-0.04096
-0.040257,-0.033366,-0.068636
-0.026049,-0.02606,-0.090576
-0.011734,-0.015051,-0.105017
0.013726,0.01604,-0.110577
0.023959,0.034191,-0.10633
0.032285,0.051934,-0.092012
0.038501,0.066926,-0.068336
0.04224,0.076683,-0.037318
0.043107,0.079288,0.032626
0.041039,0.073999,0.063476
0.036515,0.061442,0.087069
0.030267,0.043241,0.101449
0.022876,0.02143,0.105908
0.014672,-0.024898,0.100894
-0.014401,-0.045682,0.087891
-0.015693,-0.062657,0.069132
-0.013408,-0.074526,0.046979
0.011216,-0.080455,0.023319
0.022153,-0.080081,-0.023987
0.031679,-0.073481,-0.045954
0.037844,-0.061219,-0.065321
0.039191,-0.044386,-0.080729
0.035103,-0.024486,-0.091074
0.025893,0.017554,-0.09586
0.012634,0.03635,-0.095183
-0.019641,0.051892,-0.089248
-0.035282,0.063364,-0.077882
-0.048676,0.070302,-0.060564
-0.058807,0.072463,-0.03698
-0.064965,0.069743,0.024613
-0.066676,0.062198,0.056994
-0.063698,0.050112,0.085555
-0.056052,0.034046,0.106971
-0.044032,0.014816,0.118794
-0.02825,-0.028378,0.119552
0.028641,-0.048907,0.108814
0.04407,-0.066034,0.087474
0.054294,-0.078022,0.05797
0.058426,-0.083679,0.024033
0.056802,-0.082462,-0.010133
0.050721,-0.074541,-0.041058
0.041877,-0.060812,-0.066812
0.031768,-0.042826,-0.086738
0.021372,-0.022609,-0.100586
0.011122,0.015937,-0.107784
-0.016778,0.030728,-0.107369
-0.023481,0.041124,-0.098732
-0.027604,0.046795,-0.082371
-0.028658,0.047806,-0.059884
-0.026651,0.04449,-0.033464
-0.022091,0.037488,0.02225
-0.015864,0.027943,0.047428
0.010981,0.017502,0.068141
0.013123,-0.011365,0.082568
0.01401,-0.012318,0.089422
0.013615,-0.012043,0.088218
0.01208,-0.010594,0.079265
-0.011287,-0.017415,0.063384
-0.014701,-0.026958,0.041704
-0.01834,-0.034644,0.015866
-0.021998,-0.039018,-0.011674
-0.02505,-0.039301,-0.03769
-0.02665,-0.035324,-0.058698
-0.02609,-0.02735,-0.07186
-0.023084,-0.015996,-0.075717
-0.017773,0.012186,-0.07027
-0.010558,0.02565,-0.056729
0.017076,0.036334,-0.037292
0.025703,0.043005,-0.014835
0.032288,0.045218,0.027399
0.035972,0.04321,0.042559
0.036513,0.037592,0.051752
0.034359,0.029044,0.054114
0.030275,0.01829,0.04928
0.02483,-0.014182,0.037798
0.018179,-0.019868,0.02147
0.010276,-0.021617,-0.014344
-0.014285,-0.01974,-0.028312
-0.018412,-0.014833,-0.037505
-0.019233,0.011814,-0.04179
-0.017348,0.020688,-0.04181
-0.013824,0.026327,-0.038353
-0.011572,0.027075,-0.031985
0.010262,0.010588,0.010875
0.010036,0.011132,0.012289
-0.014272,0.01004,0.01277
-0.017346,-0.012771,0.0118
-0.018542,-0.015112,-0.015154
-0.017781,-0.015063,-0.021906
-0.015134,-0.012854,-0.027652
-0.010794,0.014233,-0.031451
0.012379,0.018517,-0.032242
0.015876,0.020823,-0.029113
0.017706,0.020898,-0.021673
0.018198,0.018791,-0.01039
0.017706,0.014799,0.017031
0.01629,-0.01226,0.028484
0.013823,-0.016117,0.035823
0.010321,-0.019034,0.038415
-0.012667,-0.020451,0.036615
-0.016758,-0.019646,0.031235
-0.021104,-0.016245,0.023134
-0.025517,-0.010709,0.013084
-0.029668,0.011267,-0.019759
-0.032742,0.015623,-0.028243
-0.033531,0.019352,-0.034199
-0.030872,0.021021,-0.037309
-0.024176,0.019195,-0.037503
-0.013805,0.013637,-0.0348
0.011939,-0.013478,-0.029116
0.023339,-0.015853,-0.020219
0.031774,-0.016835,0.024356
0.036926,-0.016729,0.041127
0.039407,-0.015598,0.054823
0.040259,-0.013576,0.062804
0.040301,-0.011033,0.063609
0.039636,0.013288,0.057575
0.037513,0.018431,0.046339
0.032707,0.021808,0.031684
0.024289,0.021608,0.01453
0.012472,0.017288,-0.02604
-0.013926,0.010023,-0.045736
-0.023953,-0.01039,-0.05981
-0.030049,-0.015987,-0.06459
-0.032202,-0.02061,-0.059162
-0.031,-0.022387,-0.046206
-0.027119,-0.020308,-0.030543
-0.021202,-0.014513,-0.016716
-0.013846,0.01499,0.01116
0.015616,0.025865,0.010229
0.027638,0.035483,-0.01578
0.03824,0.04172,-0.019419
0.043707,0.042006,-0.019384
0.040506,0.034653,-0.016759
0.027226,0.020075,-0.013402
-0.021293,-0.019254,-0.010192
-0.047954,-0.036408,0.016713
-0.070174,-0.047916,0.037062
-0.084001,-0.052398,0.059878
-0.086342,-0.049605,0.078961
-0.076286,-0.040066,0.087397
-0.056113,-0.024725,0.080087
-0.030374,0.018547,0.05592
0.022033,0.042162,0.018632
0.046812,0.061841,-0.02392
0.070847,0.073072,-0.062162
0.091489,0.072994,-0.087888
0.104172,0.061225,-0.096869
0.104906,0.039212,-0.090132
0.091938,-0.029511,-0.073169
0.06583,-0.072091,-0.053501
0.0284,-0.112591,-0.037433
-0.017413,-0.141801,-0.027908
-0.06575,-0.151522,-0.024838
-0.107088,-0.138769,-0.026319
-0.131358,-0.107337,-0.029074
-0.132339,-0.064605,-0.028504
-0.109917,-0.016954,-0.01945
-0.069622,0.032318,0.03434
-0.020025,0.081982,0.071982
0.029902,0.129743,0.105627
0.072027,0.170045,0.12765
0.100105,0.195305,0.134147
0.111609,0.199166,0.12506
0.108714,0.179573,0.102793
0.096591,0.140085,0.070805
0.080521,0.088547,0.033067
0.063728,0.034352,-0.044
0.046415,-0.014394,-0.078359
0.026113,-0.05305,-0.109086
-0.036172,-0.081336,-0.136004
-0.077703,-0.102566,-0.157405
-0.11721,-0.120904,-0.169199
-0.143097,-0.137837,-0.165843
-0.146721,-0.14972,-0.142442
-0.127972,-0.148365,-0.096987
-0.094965,-0.125908,-0.031543
-0.059292,-0.080786,0.048172
-0.029982,-0.02079,0.133304
0.013077,0.038878,0.211672
0.023269,0.082968,0.269152
0.035387,0.103955,0.294611
0.049455,0.104724,0.285317
0.064161,0.095003,0.248401
0.077197,0.082846,0.196581
0.085945,0.068134,0.139038
0.08883,0.044381,0.075327
0.086781,-0.040868,-0.093053
0.083653,-0.081695,-0.195532
0.084481,-0.098073,-0.29232
0.091367,-0.082452,-0.362806
0.10032,-0.042788,-0.390398
0.102367,0.030516,-0.370076
0.087677,0.035328,-0.311767
0.050328,0.019359,-0.236704
-0.082181,-0.02733,-0.167361
-0.158079,-0.038955,-0.11404
-0.221857,-0.041103,-0.067823
-0.25867,-0.039126,0.081783
-0.257407,-0.038028,0.201832
-0.214682,-0.03818,0.330952
